#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
105.0,Mozambique,28270,,253.0,,19132.0,,8885.0,,891.0,8.0,308913.0,9735.0,31732661.0,Africa,1122.0,125426.0,103.0
106.0,Cameroon,28010,,455.0,,26861.0,,694.0,46.0,1041.0,17.0,149000.0,5538.0,26906803.0,Africa,961.0,59136.0,181.0
107.0,Sudan,26279,,1603.0,,15688.0,,8988.0,,592.0,36.0,,,44409118.0,Africa,1690.0,27704.0,
108.0,Ivory Coast,25383,,142.0,,23643.0,,1598.0,,949.0,5.0,302966.0,11332.0,26735104.0,Africa,1053.0,188275.0,88.0
109.0,Senegal,23392,,536.0,,19531.0,,3325.0,47.0,1377.0,32.0,302432.0,17806.0,16984688.0,Africa,726.0,31688.0,56.0
110.0,DRC,21140,,640.0,,14812.0,,5688.0,,232.0,7.0,,,91042700.0,Africa,4307.0,142254.0,
111.0,Angola,19011,,442.0,,16822.0,,1747.0,21.0,569.0,13.0,174111.0,5209.0,33422174.0,Africa,1758.0,75616.0,192.0
112.0,Cuba,18773,,175.0,,14214.0,,4384.0,41.0,1658.0,15.0,1713810.0,151360.0,11322775.0,North America,603.0,64702.0,7.0
113.0,Botswana,18630,,88.0,,14624.0,,3918.0,1.0,7835.0,37.0,599609.0,252185.0,2377651.0,Africa,128.0,27019.0,4.0
114.0,Madagascar,18301,,273.0,,17609.0,,419.0,16.0,652.0,10.0,105342.0,3752.0,28079635.0,Africa,1534.0,102856.0,267.0
115.0,French Polynesia,17697,,127.0,,4842.0,,12728.0,20.0,62798.0,451.0,26355.0,93521.0,281807.0,Australia/Oceania,16.0,2219.0,11.0
116.0,Mauritania,16147,,405.0,,14729.0,,1013.0,30.0,3424.0,86.0,137411.0,29135.0,4716349.0,Africa,292.0,11645.0,34.0
117.0,Malta,15942,,242.0,,12865.0,,2835.0,18.0,36052.0,547.0,573665.0,1297312.0,442195.0,Europe,28.0,1827.0,1.0
118.0,French Guiana,15187,,76.0,,9995.0,,5116.0,9.0,50137.0,251.0,120983.0,399405.0,302908.0,South America,20.0,3986.0,3.0
119.0,Maldives,14633,,49.0,,13615.0,,969.0,54.0,26812.0,90.0,370938.0,679659.0,545771.0,Asia,37.0,11138.0,1.0
120.0,Jamaica,14419,,329.0,,11743.0,,2347.0,11.0,4858.0,111.0,153596.0,51745.0,2968326.0,North America,206.0,9022.0,19.0
