#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
217.0,Kiribati,3430,,13.0,,2703.0,,714.0,3.0,27792.0,105.0,,,123419.0,Australia/Oceania,36.0,9494.0,,,,5785.0
218.0,Saint Pierre Miquelon,3231,,1.0,,2449.0,,781.0,1.0,561035.0,174.0,25120.0,4361868.0,5759.0,North America,2.0,5759.0,0.0,,,135614.0
219.0,Tuvalu,2019,,,,,,2019.0,,167330.0,,,,12066.0,Australia/Oceania,6.0,,,,,167330.0
220.0,Falkland Islands,1930,,,,1930.0,,0.0,,545352.0,,8632.0,2439107.0,3539.0,South America,2.0,,0.0,,,
221.0,Saint Helena,1803,,,,2.0,,1801.0,,294849.0,,,,6115.0,Africa,3.0,,,,,294522.0
222.0,Montserrat,1403,,8.0,,1376.0,,19.0,,282578.0,1611.0,17762.0,3577442.0,4965.0,North America,4.0,621.0,0.0,,,3827.0
223.0,Macao,795,,6.0,,789.0,,0.0,,1191.0,9.0,7850.0,11760.0,667490.0,Asia,840.0,111248.0,85.0,,,
224.0,Wallis and Futuna,761,,7.0,,438.0,,316.0,,69295.0,637.0,20508.0,1867419.0,10982.0,Australia/Oceania,14.0,1569.0,1.0,,,28774.0
225.0,Diamond Princess,712,,13.0,,699.0,,0.0,,,,,,,,,,,,,
226.0,Niue,97,4.0,,,85.0,,12.0,,59803.0,,,,1622.0,Australia/Oceania,17.0,,,2466.0,,7398.0
227.0,Vatican City,29,,,,29.0,,0.0,,36295.0,,,,799.0,Europe,28.0,,,,,
228.0,Western Sahara,10,,1.0,,9.0,,0.0,,16.0,2.0,,,626161.0,Africa,62616.0,626161.0,,,,
229.0,MS Zaandam,9,,2.0,,7.0,,0.0,,,,,,,,,,,,,
230.0,China,281793,2362.0,5226.0,,258090.0,1057.0,18477.0,61.0,195.0,4.0,160000000.0,110461.0,1448471400.0,Asia,5140.0,277166.0,9.0,2.0,,13.0
,Total:,118623539,,1559934.0,,114116984.0,,2946621.0,7929.0,,,,,,North America,,,,,,
,Total:,196821641,154288.0,1494115.0,220.0,188996434.0,60060.0,6331092.0,9337.0,,,,,,Asia,,,,,,
,Total:,236405801,,1953710.0,,230778161.0,,3673930.0,7614.0,,,,,,Europe,,,,,,
,Total:,64708745,,1334323.0,,63019696.0,,354726.0,10118.0,,,,,,South America,,,,,,
,Total:,12838444,10929.0,21984.0,14.0,12533189.0,0.0,283271.0,116.0,,,,,,Australia/Oceania,,,,,,
,Total:,12693549,,257984.0,,12010863.0,,424702.0,844.0,,,,,,Africa,,,,,,
,Total:,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
,Total:,642092440,165217.0,6622065.0,234.0,621456033.0,158196.0,14014342.0,35958.0,82374.5,849.5,,,,All,,,,,,
